NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE
DE734,Total wheat,Area,14658.75,2007,2020,4,ha,NSI
DE735,Total wheat,Area,22166.666666666668,2010,2020,3,ha,NSI
DE736,Total wheat,Area,10543.0,2010,2020,3,ha,NSI
DE737,Total wheat,Area,8003.666666666667,2010,2020,3,ha,NSI
DE80J,Total wheat,Area,72285.5,2016,2020,2,ha,NSI
DE80K,Total wheat,Area,59385.5,2007,2020,4,ha,NSI
DE80L,Total wheat,Area,63278.0,2016,2020,2,ha,NSI
DE80M,Total wheat,Area,46734.666666666664,2007,2020,3,ha,NSI
DE80N,Total wheat,Area,49040.520000000004,2007,2020,4,ha,NSI
DE80O,Total wheat,Area,33653.75,2007,2020,4,ha,NSI
DE911,Total wheat,Area,2541.3333333333335,2007,2016,3,ha,NSI
DE912,Total wheat,Area,5384.75,2007,2020,4,ha,NSI
DE913,Total wheat,Area,2522.6666666666665,2007,2016,3,ha,NSI
DE914,Total wheat,Area,8541.5,2007,2020,4,ha,NSI
DE916,Total wheat,Area,12265.5,2007,2020,4,ha,NSI
DE917,Total wheat,Area,16859.0,2007,2020,4,ha,NSI
DE918,Total wheat,Area,21840.5,2007,2020,4,ha,NSI
DE91A,Total wheat,Area,10748.5,2007,2020,4,ha,NSI
DE91B,Total wheat,Area,26110.0,2007,2020,4,ha,NSI
DE91C,Total wheat,Area,25450.333333333332,2007,2020,3,ha,NSI
DE922,Total wheat,Area,15898.5,2007,2020,4,ha,NSI
DE923,Total wheat,Area,15438.5,2007,2020,4,ha,NSI
DE925,Total wheat,Area,32965.25,2007,2020,4,ha,NSI
DE926,Total wheat,Area,7686.0,2007,2020,4,ha,NSI
DE927,Total wheat,Area,12552.75,2007,2020,4,ha,NSI
DE928,Total wheat,Area,12413.5,2007,2020,4,ha,NSI
DE929,Total wheat,Area,30580.5,2007,2020,4,ha,NSI
DE931,Total wheat,Area,2911.0,2007,2020,4,ha,NSI
DE932,Total wheat,Area,9071.0,2007,2020,4,ha,NSI
DE933,Total wheat,Area,5098.5,2007,2020,4,ha,NSI
DE934,Total wheat,Area,6573.0,2007,2020,4,ha,NSI
DE935,Total wheat,Area,7597.0,2007,2020,4,ha,NSI
DE936,Total wheat,Area,956.0,2007,2020,4,ha,NSI
DE937,Total wheat,Area,2745.75,2007,2020,4,ha,NSI
DE938,Total wheat,Area,2562.75,2007,2020,4,ha,NSI
DE939,Total wheat,Area,6899.5,2007,2020,4,ha,NSI
DE93A,Total wheat,Area,12045.25,2007,2020,4,ha,NSI
DE93B,Total wheat,Area,6205.25,2007,2020,4,ha,NSI
DE941,Total wheat,Area,38.5,2007,2020,4,ha,NSI
DE942,Total wheat,Area,771.25,2007,2020,4,ha,NSI
DE943,Total wheat,Area,32.75,2007,2020,4,ha,NSI
DE944,Total wheat,Area,608.0,2007,2016,3,ha,NSI
DE945,Total wheat,Area,377.0,2007,2016,3,ha,NSI
DE946,Total wheat,Area,609.5,2007,2020,4,ha,NSI
DE947,Total wheat,Area,11060.5,2007,2020,4,ha,NSI
DE948,Total wheat,Area,9152.5,2007,2020,4,ha,NSI
DE949,Total wheat,Area,11153.0,2007,2020,4,ha,NSI
DE94A,Total wheat,Area,3483.5,2007,2020,4,ha,NSI
DE94B,Total wheat,Area,2184.5,2007,2020,4,ha,NSI
DE94C,Total wheat,Area,2520.0,2007,2020,4,ha,NSI
DE94D,Total wheat,Area,4962.75,2007,2020,4,ha,NSI
DE94E,Total wheat,Area,15910.25,2007,2020,4,ha,NSI
DE94F,Total wheat,Area,8888.0,2007,2020,4,ha,NSI
DE94G,Total wheat,Area,795.0,2007,2020,4,ha,NSI
DE94H,Total wheat,Area,3039.75,2007,2020,4,ha,NSI
DEA11,Total wheat,Area,710.25,2007,2020,4,ha,NSI
DEA12,Total wheat,Area,441.25,2007,2020,4,ha,NSI
DEA13,Total wheat,Area,511.0,2007,2020,4,ha,NSI
DEA14,Total wheat,Area,744.25,2007,2020,4,ha,NSI
