,lon,lat,precip_additive,precip_mean
322,-2.682382,29.403279,379.8005,19.9895
323,-2.364761,29.403279,409.70053,21.56318579
324,-2.04714,29.403279,394.8005,20.77897368
325,-1.729519,29.403279,358.30035,18.85791316
326,-1.411898,29.403279,288.90027,15.20527737
327,-1.094277,29.403279,239.50002,12.60526421
328,-0.776656,29.403279,236.70003,12.45789632
329,-0.459035,29.403279,243.40005,12.81052895
330,-0.141414,29.403279,246.00003,12.94737
331,0.176207,29.403279,244.6001,12.87368947
332,0.493828,29.403279,234.70006,12.35263474
333,0.811449,29.403279,214.60007,11.29474053
334,1.12907,29.403279,199.4,10.49473684
335,1.446691,29.403279,178.99997,9.421051053
336,1.764312,29.403279,189.39998,9.96842
337,2.081933,29.403279,188.79996,9.93684
338,2.399554,29.403279,193.70003,10.19473842
339,2.717175,29.403279,191.40001,10.07368474
340,17.327741,29.403279,215.40002,11.33684316
341,17.645362,29.403279,210.90022,11.10001158
342,17.962983,29.403279,197.2001,10.37895263
343,18.280604,29.403279,181.50006,9.552634737
344,18.598225,29.403279,152.19998,8.010525263
345,18.915846,29.403279,145.6,7.663157895
346,19.233467,29.403279,148.89995,7.836839474
347,19.551088,29.403279,140.69994,7.40526
348,19.868709,29.403279,134.79996,7.094734737
349,20.18633,29.403279,128.39989,6.757888947
350,20.503951,29.403279,124.29993,6.542101579
351,20.821572,29.403279,144.90005,7.626318421
352,21.139193,29.403279,151.29999,7.963157368
353,21.456814,29.403279,157.69997,8.299998421
354,21.774435,29.403279,153.29999,8.068420526
355,22.092056,29.403279,145.69997,7.668419474
356,22.409677,29.403279,125.79997,6.621051053
357,22.727298,29.403279,102.39998,5.389472632
358,23.044919,29.403279,94.399956,4.968418737
359,23.36254,29.403279,96.899956,5.099997684
360,23.680161,29.403279,112.89993,5.942101579
361,23.997782,29.403279,111.3999,5.863152632
362,24.315403,29.403279,104.29993,5.48947
363,24.633024,29.403279,100.09995,5.268418421
364,24.950645,29.403279,97.59996,5.13684
365,25.268266,29.403279,97.19997,5.115787895
366,25.585887,29.403279,92.49996,4.868418947
367,25.903508,29.403279,90.09997,4.742103684
368,26.221129,29.403279,84.89998,4.46842
369,26.53875,29.403279,81.59998,4.294735789
370,26.856371,29.403279,84.89998,4.46842
371,27.173992,29.403279,92.49996,4.868418947
372,27.491613,29.403279,102.59998,5.399998947
373,27.809234,29.403279,111.9,5.889473684
374,28.126855,29.403279,125.200005,6.589473947
375,28.444476,29.403279,134.00005,7.052634211
376,28.762097,29.403279,139.70009,7.352636316
377,29.079718,29.403279,138.70001,7.300000526
378,29.397339,29.403279,131.5,6.921052632
379,29.71496,29.403279,136.50002,7.184211579
380,30.032581,29.403279,120.29994,6.331575789
381,30.350202,29.403279,112.19995,5.905260526
382,30.667823,29.403279,156.1,8.215789474
383,30.985444,29.403279,269.40024,14.17896
384,31.303065,29.403279,334.80032,17.62106947
385,31.620686,29.403279,350.2004,18.4316
386,31.938307,29.403279,255.00014,13.42106
387,32.255928,29.403279,199.10019,10.47895737
388,32.573549,29.403279,214.10013,11.26842789
389,32.89117,29.403279,251.00002,13.21052737
390,33.208791,29.403279,285.40027,15.02106684
391,33.526412,29.403279,295.0004,15.52633684
392,33.844033,29.403279,354.7004,18.66844211
393,34.161654,29.403279,381.20068,20.06319368
394,34.479275,29.403279,392.40045,20.65265526
395,34.796896,29.403279,422.90045,22.25791842
396,35.114517,29.403279,443.90042,23.36318
397,-9.987665,29.7209,2211.0986,116.3736105
398,-9.670044,29.7209,2326.5007,122.4474053
399,-9.352423,29.7209,2501.203,131.6422632
400,-9.034802,29.7209,2078.5967,109.3998263
401,-8.717181,29.7209,1529.1948,80.48393684
402,-8.39956,29.7209,1127.097,59.32089474
403,-8.081939,29.7209,811.49994,42.71052316
404,-7.764318,29.7209,701.80023,36.93685421
405,-7.446697,29.7209,620.2,32.64210526
406,-7.129076,29.7209,569.1003,29.95264737
407,-6.811455,29.7209,537.6005,28.29476316
408,-6.493834,29.7209,518.90045,27.31055
409,-6.176213,29.7209,530.80035,27.93686053
410,-5.858592,29.7209,544.8004,28.67370526
411,-5.540971,29.7209,515.50037,27.13159842
412,-5.22335,29.7209,491.4004,25.86317895
413,-4.905729,29.7209,454.8004,23.93686316
414,-4.588108,29.7209,432.20026,22.74738211
415,-4.270487,29.7209,405.4002,21.33685263
416,-3.952866,29.7209,390.50018,20.55264105
417,-3.635245,29.7209,376.40015,19.81053421
418,-3.317624,29.7209,354.6002,18.66316842
419,-3.000003,29.7209,377.50043,19.86844368
420,-2.682382,29.7209,443.00064,23.31582316
421,-2.364761,29.7209,466.60025,24.55790789
422,-2.04714,29.7209,461.80048,24.30528842
423,-1.729519,29.7209,426.10028,22.42633053
424,-1.411898,29.7209,400.6004,21.08423158
425,-1.094277,29.7209,301.80026,15.88422421
426,-0.776656,29.7209,255.20016,13.43158737
427,-0.459035,29.7209,245.70016,12.93158737
428,-0.141414,29.7209,266.00015,14.00000789
429,0.176207,29.7209,257.50003,13.55263316
430,0.493828,29.7209,242.10013,12.74211211
431,0.811449,29.7209,230.50017,12.13158789
432,1.12907,29.7209,209.50003,11.02631737
433,1.446691,29.7209,199.70004,10.51052842
434,1.764312,29.7209,198.80003,10.46315947
435,2.081933,29.7209,204.70004,10.77368632
436,2.399554,29.7209,226.9002,11.94211579
437,2.717175,29.7209,251.00029,13.21054158
438,3.034796,29.7209,271.4003,14.28422632
439,3.352417,29.7209,201.20007,10.58947737
440,3.670038,29.7209,186,9.789473684
441,3.987659,29.7209,179.09998,9.426314737
442,4.30528,29.7209,172.2,9.063157895
443,4.622901,29.7209,167.70001,8.826316316
444,4.940522,29.7209,163.1,8.584210526
445,5.258143,29.7209,167.40001,8.810526842
446,5.575764,29.7209,175.59996,9.242103158
447,5.893385,29.7209,215.20006,11.32631895
448,6.211006,29.7209,226.9001,11.94211053
449,6.528627,29.7209,251.60005,13.24210789
450,6.846248,29.7209,268.50003,14.13158053
451,7.163869,29.7209,265.50012,13.97369053
452,7.48149,29.7209,265.9002,13.99474737
453,7.799111,29.7209,236.90009,12.46842579
454,8.116732,29.7209,228.70012,12.03684842
455,8.434353,29.7209,256.60016,13.50527158
456,8.751974,29.7209,331.80026,17.46317158
457,9.069595,29.7209,356.40027,18.75790895
458,9.387216,29.7209,384.60037,20.24212474
459,9.704837,29.7209,406.5004,21.39475789
460,10.022458,29.7209,398.50024,20.97369684
461,10.340079,29.7209,411.6005,21.66318421
462,10.6577,29.7209,355.5002,18.71053684
463,10.975321,29.7209,328.70026,17.30001368
464,11.292942,29.7209,325.30054,17.12108105
465,11.610563,29.7209,327.5004,17.23686316
466,11.928184,29.7209,346.3003,18.22633158
467,12.245805,29.7209,344.60037,18.13686158
468,12.563426,29.7209,381.30048,20.06844632
469,12.881047,29.7209,426.30054,22.43687053
470,13.198668,29.7209,429.70074,22.61582842
471,13.516289,29.7209,437.30063,23.01582263
472,13.83391,29.7209,433.3005,22.80528947
473,14.151531,29.7209,431.50046,22.71055053
474,14.469152,29.7209,356.6007,18.76845789
475,14.786773,29.7209,322.7005,16.98423684
476,15.104394,29.7209,325.20062,17.11582211
477,15.422015,29.7209,344.4007,18.12635263
478,15.739636,29.7209,355.60065,18.71582368
479,16.057257,29.7209,330.7005,17.40528947
480,16.374878,29.7209,336.3005,17.70002632
481,16.692499,29.7209,300.00037,15.78949316
482,17.01012,29.7209,262.8001,13.83158421
483,17.327741,29.7209,235.60016,12.40000842
484,17.645362,29.7209,221.30025,11.64738158
485,17.962983,29.7209,216.30019,11.38422053
486,18.280604,29.7209,214.60016,11.29474526
487,18.598225,29.7209,199.40009,10.49474158
488,18.915846,29.7209,186.40001,9.810526842
489,19.233467,29.7209,193.80002,10.20000105
490,19.551088,29.7209,196.90012,10.36316421
491,19.868709,29.7209,228.50023,12.02632789
492,20.18633,29.7209,219.40025,11.54738158
493,20.503951,29.7209,171.40013,9.021059474
494,20.821572,29.7209,171.20004,9.010528421
495,21.139193,29.7209,160.50002,8.447369474
496,21.456814,29.7209,168.20003,8.852633158
497,21.774435,29.7209,165.20003,8.694738421
498,22.092056,29.7209,158.49998,8.342104211
499,22.409677,29.7209,148.1,7.794736842
500,22.727298,29.7209,129.19994,6.799996842
501,23.044919,29.7209,123.99997,6.526314211
502,23.36254,29.7209,117.89997,6.205261579
503,23.680161,29.7209,128.99997,6.789472105
504,23.997782,29.7209,131.29997,6.910524737
505,24.315403,29.7209,131.89992,6.942101053
506,24.633024,29.7209,134.2,7.063157895
507,24.950645,29.7209,123.69996,6.510524211
508,25.268266,29.7209,116.09996,6.110524211
509,25.585887,29.7209,106.69998,5.615788421
510,25.903508,29.7209,99.99998,5.263156842
511,26.221129,29.7209,96.39999,5.073683684
512,26.53875,29.7209,96.599976,5.084209263
513,26.856371,29.7209,92.29994,4.857891579
514,27.173992,29.7209,101.89994,5.363154737
515,27.491613,29.7209,113.19997,5.957893158
516,27.809234,29.7209,128.39996,6.757892632
517,28.126855,29.7209,142.00002,7.473685263
518,28.444476,29.7209,154.70001,8.142105789
519,28.762097,29.7209,168.7001,8.878952632
520,29.079718,29.7209,171.8001,9.042110526
521,29.397339,29.7209,173.30005,9.121055263
522,29.71496,29.7209,195.20004,10.27368632
